Entity,Code,Year,Tree density (trees per km2)
Afghanistan,AFG,2014,562.8843203
Albania,ALB,2014,37403.53706
Algeria,DZA,2014,360.5156159
American Samoa,ASM,2014,12165.83751
Andorra,AND,2014,51104.03436
Angola,AGO,2014,33498.98433
Anguilla,AIA,2014,1536.132078
Antigua and Barbuda,ATG,2014,17245.91138
Argentina,ARG,2014,18029.40271
Armenia,ARM,2014,13514.22321
Aruba,ABW,2014,344.017345
Australia,AUS,2014,9941.12907
Austria,AUT,2014,36722.49556
Azerbaijan,AZE,2014,8967.339893
Bahamas,BHS,2014,12828.71429
Bahrain,BHR,2014,4.544569434
Bangladesh,BGD,2014,6862.857493
Barbados,BRB,2014,10380.41805
Belarus,BLR,2014,27649.56489
Belgium,BEL,2014,17253.37953
Belize,BLZ,2014,54584.57102
Benin,BEN,2014,17740.20868
Bermuda,BMU,2014,707.5797305
Bhutan,BTN,2014,47572.22428
Bolivia,BOL,2014,54409.96827
Bonaire Sint Eustatius and Saba,BES,2014,3508.619856
Bosnia and Herzegovina,BIH,2014,38589.0904
Botswana,BWA,2014,13928.51512
Brazil,BRA,2014,35288.2947
British Indian Ocean Territory,IOT,2014,659.630554
British Virgin Islands,VGB,2014,7980.308983
Brunei,BRN,2014,62333.37385
Bulgaria,BGR,2014,24986.59329
Burkina Faso,BFA,2014,3710.56781
Burundi,BDI,2014,14011.40286
Cambodia,KHM,2014,30421.32842
Cameroon,CMR,2014,41420.83362
Canada,CAN,2014,32054.55088
Cape Verde,CPV,2014,5196.954075
Cayman Islands,CYM,2014,21117.05022
Central African Republic,CAF,2014,38861.0685
Chad,TCD,2014,3646.856151
Chile,CHL,2014,25274.19629
China,CHN,2014,14852.60182
Christmas Island,CXR,2014,4019.4735
Colombia,COL,2014,44950.66058
Comoros,COM,2014,42688.48509
Congo,COG,2014,42088.15532
Cook Islands,COK,2014,9328.853951
Costa Rica,CRI,2014,37041.80704
Cote d'Ivoire,CIV,2014,22449.72772
Croatia,HRV,2014,41129.4886
Cuba,CUB,2014,20627.23094
Curacao,CUW,2014,3412.980985
Cyprus,CYP,2014,11004.59937
Czechia,CZE,2014,25821.63136
Democratic Republic of Congo,COD,2014,43230.5
Denmark,DNK,2014,7059.338747
Djibouti,DJI,2014,62.31030591
Dominica,DMA,2014,48628.03908
Dominican Republic,DOM,2014,22270.39882
East Timor,TLS,2014,34117.11333
Ecuador,ECU,2014,39912.15821
Egypt,EGY,2014,69.10092352
El Salvador,SLV,2014,19865.64062
Equatorial Guinea,GNQ,2014,61790.54883
Eritrea,ERI,2014,2516.173959
Estonia,EST,2014,41111.54174
Eswatini,SWZ,2014,52462.71645
Ethiopia,ETH,2014,12151.28614
Falkland Islands,FLK,2014,15120.53837
Faroe Islands,FRO,2014,73601.01519
Fiji,FJI,2014,8235.148756
Finland,FIN,2014,72643.508
France,FRA,2014,21955.84793
French Guiana,GUF,2014,60326.03085
French Polynesia,PYF,2014,7304.58631
Gabon,GAB,2014,52243.89667
Gambia,GMB,2014,4802.83569
Georgia,GEO,2014,35930.01368
Germany,DEU,2014,24182.25563
Ghana,GHA,2014,18988.70122
Gibraltar,GIB,2014,2029.944212
Greece,GRC,2014,24323.35746
Greenland,GRL,2014,130.5483995
Grenada,GRD,2014,29029.89172
Guadeloupe,GLP,2014,34148.39211
Guam,GUM,2014,2812.033424
Guatemala,GTM,2014,42478.487
Guernsey,GGY,2014,2189.754987
Guinea,GIN,2014,36108.56427
Guinea-Bissau,GNB,2014,30011.60853
Guyana,GUY,2014,55923.05359
Haiti,HTI,2014,5466.674789
Honduras,HND,2014,41837.91633
Hong Kong,HKG,2014,26214.97691
Hungary,HUN,2014,10573.09873
Iceland,ISL,2014,6511.239502
India,IND,2014,11108.79205
Indonesia,IDN,2014,42404.80098
Iran,IRN,2014,1395.190556
Iraq,IRQ,2014,1171.271426
Ireland,IRL,2014,10087.76185
Isle of Man,IMN,2014,17602.67668
Israel,ISR,2014,572.5708604
Italy,ITA,2014,29249.4324
Jamaica,JAM,2014,39192.90548
Japan,JPN,2014,49893.51488
Jersey,JEY,2014,2623.725107
Jordan,JOR,2014,28.06372456
Kazakhstan,KAZ,2014,2244.513191
Kenya,KEN,2014,5205.467236
Kiribati,KIR,2014,980.3998547
Kosovo,OWID_KOS,2014,22084.13392
Kuwait,KWT,2014,3.500288148
Kyrgyzstan,KGZ,2014,5913.62498
Laos,LAO,2014,43179.38518
Latvia,LVA,2014,38701.10484
Lebanon,LBN,2014,2729.513937
Lesotho,LSO,2014,22170.72189
Liberia,LBR,2014,34727.87257
Libya,LBY,2014,16.76341806
Liechtenstein,LIE,2014,37534.10101
Lithuania,LTU,2014,22731.88774
Luxembourg,LUX,2014,21664.76866
Macao,MAC,2014,635.115484
Madagascar,MDG,2014,37617.81182
Malawi,MWI,2014,26763.15068
Malaysia,MYS,2014,45591.03665
Maldives,MDV,2014,939.4988067
Mali,MLI,2014,2082.394811
Malta,MLT,2014,70.32776974
Marshall Islands,MHL,2014,718.6128851
Martinique,MTQ,2014,35015.75564
Mauritania,MRT,2014,109.2233428
Mauritius,MUS,2014,16001.29451
Mayotte,MYT,2014,25965.48626
Mexico,MEX,2014,28958.83844
Micronesia (country),FSM,2014,15916.44346
Moldova,MDA,2014,4018.339844
Monaco,MCO,2014,4409.475896
Mongolia,MNG,2014,4732.574578
Montenegro,MNE,2014,44176.60151
Montserrat,MSR,2014,27192.73103
Morocco,MAR,2014,1251.388531
Mozambique,MOZ,2014,32490.1553
Myanmar,MMR,2014,36420.38958
Namibia,NAM,2014,2751.003754
Nauru,NRU,2014,1217.315462
Nepal,NPL,2014,22640.94351
Netherlands,NLD,2014,9089.54402
New Caledonia,NCL,2014,45772.18851
New Zealand,NZL,2014,42493.09378
Nicaragua,NIC,2014,30541.26557
Niger,NER,2014,173.7594031
Nigeria,NGA,2014,11972.0579
North Korea,PRK,2014,40802.46218
North Macedonia,MKD,2014,25952.80988
Northern Cyprus,OWID_CYN,2014,3496.687862
Northern Mariana Islands,MNP,2014,7271.179111
Norway,NOR,2014,43999.49056
Oman,OMN,2014,32.39065647
Pakistan,PAK,2014,1131.227136
Palau,PLW,2014,26911.16242
Palestine,PSE,2014,167.6193861
Panama,PAN,2014,38213.92976
Papua New Guinea,PNG,2014,49050.82347
Paraguay,PRY,2014,47337.76824
Peru,PER,2014,35514.78554
Philippines,PHL,2014,21205.6223
Poland,POL,2014,20657.24922
Portugal,PRT,2014,33989.12284
Puerto Rico,PRI,2014,23932.28778
Qatar,QAT,2014,1.121359396
Reunion,REU,2014,46486.00699
Romania,ROU,2014,20295.25578
Russia,RUS,2014,38033.12068
Rwanda,RWA,2014,13689.60188
Saint Barthlemy,,2014,4260.967652
Saint Helena,SHN,2014,21278.96969
Saint Kitts and Nevis,KNA,2014,27338.38476
Saint Lucia,LCA,2014,34412.83755
Saint Pierre and Miquelon,SPM,2014,26764.34628
Saint Vincent and the Grenadines,VCT,2014,31527.37618
Samoa,WSM,2014,14165.66217
San Marino,SMR,2014,7771.58407
Sao Tome and Principe,STP,2014,58785.90273
Saudi Arabia,SAU,2014,1.414488247
Senegal,SEN,2014,6598.788971
Serbia,SRB,2014,21177.41327
Seychelles,SYC,2014,4083.185813
Sierra Leone,SLE,2014,31103.63195
Singapore,SGP,2014,3618.12772
Sint Maarten (Dutch part),SXM,2014,3965.376009
Slovakia,SVK,2014,30445.76666
Slovenia,SVN,2014,71131.48624
Solomon Islands,SLB,2014,44009.68816
Somalia,SOM,2014,1381.514972
South Africa,ZAF,2014,14530.79409
South Korea,KOR,2014,38096.51697
South Sudan,SSD,2014,43102.38181
Spain,ESP,2014,22485.21846
Sri Lanka,LKA,2014,36776.64322
Sudan,SDN,2014,1621.803535
Suriname,SUR,2014,56379.07719
Sweden,SWE,2014,69161.14537
Switzerland,CHE,2014,26575.0923
Syria,SYR,2014,534.232646
Taiwan,TWN,2014,62975.40764
Tajikistan,TJK,2014,1040.686297
Tanzania,TZA,2014,21959.14136
Thailand,THA,2014,16141.13397
Togo,TGO,2014,17835.76
Tokelau,TKL,2014,1167.236404
Tonga,TON,2014,7262.276005
Trinidad and Tobago,TTO,2014,40015.5975
Tunisia,TUN,2014,974.6999118
Turkey,TUR,2014,11125.98443
Turkmenistan,TKM,2014,14.72434443
Turks and Caicos Islands,TCA,2014,3909.563112
Tuvalu,TUV,2014,909.3359494
Uganda,UGA,2014,10139.84761
Ukraine,UKR,2014,11693.12495
United Arab Emirates,ARE,2014,0.248461446
United Kingdom,GBR,2014,12263.51514
United States,USA,2014,24087.25054
United States Virgin Islands,VIR,2014,12796.13991
Uruguay,URY,2014,3053.482325
Uzbekistan,UZB,2014,255.5274208
Vanuatu,VUT,2014,46053.42839
Venezuela,VEN,2014,39500.2561
Vietnam,VNM,2014,28325.07761
Wallis and Futuna,WLF,2014,10507.87957
Western Sahara,ESH,2014,0.069174774
World,OWID_WRL,2014,22540.35861
World (mean),,2014,22540.35861
World (median),,2014,17249.64546
Yemen,YEM,2014,34.19417681
Zambia,ZMB,2014,36533.3207
Zimbabwe,ZWE,2014,14392.59874